TIME,PID,ON CPU(invalid),OFF CPU(invalid),CPU%
1660406552.82,37073,-1,-1,0.00
1660406555.02,37073,-1,-1,0.00
1660406557.21,37073,-1,-1,0.00
1660406559.40,37073,-1,-1,0.00
1660406561.60,37073,-1,-1,0.00
1660406563.79,37073,-1,-1,0.00
1660406565.98,37073,-1,-1,0.00
1660406568.17,37073,-1,-1,0.00
1660406570.36,37073,-1,-1,0.00
1660406572.56,37073,-1,-1,0.00
1660406574.75,37073,-1,-1,0.00
1660406576.95,37073,-1,-1,0.00
1660406579.14,37073,-1,-1,0.00
1660406581.33,37073,-1,-1,0.00
1660406583.52,37073,-1,-1,0.00
1660406585.71,37073,-1,-1,0.00
1660406587.91,37073,-1,-1,0.00
1660406590.10,37073,-1,-1,0.00
1660406592.29,37073,-1,-1,0.00
1660406594.48,37073,-1,-1,0.00
1660406596.67,37073,-1,-1,0.00
1660406598.85,37073,-1,-1,0.00
1660406601.04,37073,-1,-1,0.00
1660406603.23,37073,-1,-1,0.00
1660406605.42,37073,-1,-1,0.00
1660406607.63,37073,-1,-1,0.00
1660406609.88,37073,-1,-1,0.00
1660406612.13,37073,-1,-1,0.00
1660406614.39,37073,-1,-1,0.00
1660406616.65,37073,-1,-1,0.00
1660406618.84,37073,-1,-1,0.00
1660406621.03,37073,-1,-1,0.00
1660406623.22,37073,-1,-1,0.00
1660406625.41,37073,-1,-1,0.00
1660406627.60,37073,-1,-1,0.00
1660406629.79,37073,-1,-1,0.00
1660406631.98,37073,-1,-1,0.00
1660406634.17,37073,-1,-1,0.00
1660406636.36,37073,-1,-1,0.00
1660406638.55,37073,-1,-1,0.00
1660406640.74,37073,-1,-1,0.00
1660406642.93,37073,-1,-1,0.00
1660406645.12,37073,-1,-1,0.00
1660406647.32,37073,-1,-1,0.00
1660406649.51,37073,-1,-1,0.00
1660406651.69,37073,-1,-1,0.00
1660406653.89,37073,-1,-1,0.00
1660406656.08,37073,-1,-1,0.00
1660406658.27,37073,-1,-1,0.00
1660406660.46,37073,-1,-1,0.00
1660406662.64,37073,-1,-1,0.00
END
