TIME,PID,SIZE(B),NUM
1660406552.82,37073,4,2
1660406555.02,37073,8,4
1660406557.21,37073,12,6
1660406559.40,37073,18,9
1660406561.60,37073,22,11
1660406563.79,37073,26,13
1660406565.98,37073,30,15
1660406568.17,37073,34,17
1660406570.36,37073,40,20
1660406572.56,37073,44,22
1660406574.75,37073,48,24
1660406576.95,37073,52,26
1660406579.14,37073,56,28
1660406581.33,37073,60,30
1660406583.52,37073,66,33
1660406585.71,37073,70,35
1660406587.91,37073,74,37
1660406590.10,37073,78,39
1660406592.29,37073,82,41
1660406594.48,37073,88,44
1660406596.67,37073,92,46
1660406598.85,37073,96,48
1660406601.04,37073,100,50
1660406603.23,37073,104,52
1660406605.42,37073,110,55
1660406607.63,37073,114,57
1660406609.88,37073,118,59
1660406612.13,37073,122,61
1660406614.39,37073,128,64
1660406616.65,37073,132,66
1660406618.84,37073,136,68
1660406621.03,37073,140,70
1660406623.22,37073,144,72
1660406625.41,37073,150,75
1660406627.60,37073,154,77
1660406629.79,37073,158,79
1660406631.98,37073,162,81
1660406634.17,37073,166,83
1660406636.36,37073,172,86
1660406638.55,37073,176,88
1660406640.74,37073,180,90
1660406642.93,37073,184,92
1660406645.12,37073,188,94
1660406647.32,37073,192,96
1660406649.51,37073,1216,97
1660406651.69,37073,1216,97
1660406653.89,37073,1216,97
1660406656.08,37073,1216,97
1660406658.27,37073,1024,1
1660406660.46,37073,1024,1
END
