TIME,PID,COMM,ACTION,SYSCALL ID,PARM1
1660389027.443092,         b'test',30704 ,1,230,0
1660389027.443301,         b'test',30704 ,0,230,0
1660389028.443505,         b'test',30704 ,1,230,0
1660389028.443587,         b'test',30704 ,0,230,0
1660389029.443821,         b'test',30704 ,1,230,0
1660389029.443916,         b'test',30704 ,0,230,0
1660389030.451718,         b'test',30704 ,1,230,0
1660389030.451918,         b'test',30704 ,0,230,0
1660389031.452086,         b'test',30704 ,1,230,0
1660389031.452157,         b'test',30704 ,0,230,0
1660389032.455837,         b'test',30704 ,1,230,0
1660389032.455891,         b'test',30704 ,0,230,0
1660389033.455564,         b'test',30704 ,1,230,0
1660389033.455595,         b'test',30704 ,0,230,0
1660389034.455745,         b'test',30704 ,1,230,0
1660389034.455803,         b'test',30704 ,0,230,0
1660389035.456001,         b'test',30704 ,1,230,0
1660389035.456116,         b'test',30704 ,0,230,0
1660389036.454525,         b'test',30704 ,1,230,0
1660389036.454623,         b'test',30704 ,0,230,0
1660389037.454800,         b'test',30704 ,1,230,0
1660389037.454868,         b'test',30704 ,0,230,0
1660389038.455102,         b'test',30704 ,1,230,0
1660389038.455175,         b'test',30704 ,0,230,0
1660389039.452547,         b'test',30704 ,1,230,0
1660389039.452665,         b'test',30704 ,0,230,0
1660389040.452897,         b'test',30704 ,1,230,0
1660389040.453035,         b'test',30704 ,0,230,0
1660389041.453201,         b'test',30704 ,1,230,0
1660389041.453271,         b'test',30704 ,0,230,0
1660389042.453442,         b'test',30704 ,1,230,0
1660389042.453525,         b'test',30704 ,0,230,0
1660389043.452469,         b'test',30704 ,1,230,0
1660389043.452561,         b'test',30704 ,0,230,0
1660389044.452761,         b'test',30704 ,1,230,0
1660389044.452904,         b'test',30704 ,0,230,0
1660389045.453111,         b'test',30704 ,1,230,0
1660389045.453236,         b'test',30704 ,0,230,0
1660389046.460869,         b'test',30704 ,1,230,0
1660389046.460943,         b'test',30704 ,0,230,0
1660389047.461122,         b'test',30704 ,1,230,0
1660389047.461166,         b'test',30704 ,0,230,0
1660389048.461328,         b'test',30704 ,1,230,0
1660389048.461380,         b'test',30704 ,0,230,0
1660389049.452733,         b'test',30704 ,1,230,0
1660389049.452795,         b'test',30704 ,0,230,0
1660389050.452997,         b'test',30704 ,1,230,0
1660389050.453054,         b'test',30704 ,0,230,0
1660389051.453225,         b'test',30704 ,1,230,0
1660389051.453269,         b'test',30704 ,0,230,0
1660389052.460882,         b'test',30704 ,1,230,0
1660389052.460959,         b'test',30704 ,0,230,0
1660389053.461198,         b'test',30704 ,1,230,0
1660389053.461285,         b'test',30704 ,0,230,0
1660389054.461585,         b'test',30704 ,1,230,0
1660389054.461687,         b'test',30704 ,0,230,0
1660389055.458658,         b'test',30704 ,1,230,0
1660389055.458731,         b'test',30704 ,0,230,0
1660389056.458892,         b'test',30704 ,1,230,0
1660389056.458956,         b'test',30704 ,0,230,0
1660389057.459089,         b'test',30704 ,1,230,0
1660389057.459183,         b'test',30704 ,0,230,0
1660389058.459317,         b'test',30704 ,1,230,0
1660389058.459362,         b'test',30704 ,0,230,0
1660389059.459674,         b'test',30704 ,1,230,0
1660389059.459794,         b'test',30704 ,0,230,0
1660389060.460035,         b'test',30704 ,1,230,0
1660389060.460128,         b'test',30704 ,0,230,0
